Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
Vostok 1,"Baikonur , Site 1/5 45°55′13″N 63°20′32″E ﻿ / ﻿ 45.920278°N 63.342222°E ﻿ / 45.920278; 63.342222",,"April 12, 1961, 06:07 ( 1961-04-12UTC06:07Z ) UTC","1 hour, 48 minutes 1 hour, 46 minutes",51°16′14″N 45°59′50″E ﻿ / ﻿ 51.270682°N 45.99727°E ﻿ / 51.270682; 45.99727 (51.270682; 45.99727),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%201
Vostok 2,Baikonur 1/5,,"August 6, 1961, 06:00 ( 1961-08-06UTC06Z ) UTC","1 day, 1 hour, 18 minutes",Krasny Kut 50°51′10″N 47°01′14″E ﻿ / ﻿ 50.85276°N 47.02048°E ﻿ / 50.85276; 47.02048 (50.85276; 47.02048),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%202
Mercury-Atlas 6,Cape Canaveral LC-14,,"February 20, 1962, 14:47:39 ( 1962-02-20UTC14:47:39Z ) UTC","4 hours, 55 minutes, 23 seconds",North Atlantic Ocean 21°20′N 68°40′W ﻿ / ﻿ 21.333°N 68.667°W ﻿ / 21.333; -68.667 (21.333; -68.667),Atlas LV-3B 109-D,https://en.wikipedia.org/wiki/Mercury-Atlas%206
STS-95,"Kennedy , LC-39B",,"29 October 1998, 19:19:34 ( 1998-10-29UTC19:19:34Z ) UTC","9 days, 19 hours, 54 minutes, 2 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-95
Mercury-Atlas 7,Cape Canaveral LC-14,,"May 24, 1962, 12:45:16 ( 1962-05-24UTC12:45:16Z ) UTC","4 hours, 56 minutes, 5 seconds","North-east of Puerto Rico , Caribbean Sea",Atlas LV-3B 107-D,https://en.wikipedia.org/wiki/Mercury-Atlas%207
Vostok 3,,,,,,,https://en.wikipedia.org/wiki/Vostok%203
Soyuz 9,"Baikonur , Site 31/6",,"1 June 1970, 19:00:00 GMT","17 days, 16 hours, 58 minutes, 55 seconds",Steppes in Kazakhstan,Soyuz,https://en.wikipedia.org/wiki/Soyuz%209
Vostok 4,,,,,,,https://en.wikipedia.org/wiki/Vostok%204
Soyuz 14,Baikonur 1/5,,"3 July 1974, 18:51:08 UTC","15 days, 17 hours and 30 minutes","140 km (87 mi) at the southeast of Dzhezkazgan , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2014
Mercury-Atlas 8,Cape Canaveral LC-14,,"October 3, 1962, 12:15:12 ( 1962-10-03UTC12:15:12Z ) UTC","9 hours, 13 minutes, 15 seconds",Central Pacific Ocean,Atlas LV-3B 113-D,https://en.wikipedia.org/wiki/Mercury-Atlas%208
Gemini 6A,Cape Kennedy LC-19,,"December 15, 1965, 13:37:26 ( 1965-12-15UTC13:37:26Z ) UTC","1 day, 1 hour, 51 minutes, 24 seconds",North Atlantic Ocean 23°35′N 67°50′W ﻿ / ﻿ 23.583°N 67.833°W ﻿ / 23.583; -67.833 (23.583; -67.833),"Titan II GLV , s/n 62-12561",https://en.wikipedia.org/wiki/Gemini%206A
Apollo 7,Cape Kennedy LC-34,,"October 11, 1968, 15:02:45 ( 1968-10-11UTC15:02:45Z ) UTC","10 days, 20 hours, 9 minutes, 3 seconds",North Atlantic Ocean 27°32′N 64°04′W ﻿ / ﻿ 27.533°N 64.067°W ﻿ / 27.533; -64.067 ﻿ ( Apollo 7 splashdown ) (27.533; -64.067),Saturn IB SA-205,https://en.wikipedia.org/wiki/Apollo%207
